# Server version 0.08 running on sangmoonhwang-Satellite-L50D-B:8123
# Game ID: 4
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Sat Feb 27 14:16:23 EST 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, 'xxxxxxxxx', running on localhost
START Player-0 RandomHusPlayer
START Player-1 xxxxxxxxx
PIT 0 8
PIT 1 0
PIT 0 14
PIT 1 1
PIT 0 4
PIT 1 3
PIT 0 15
PIT 1 5
PIT 0 22
PIT 1 6
PIT 0 23
PIT 1 7
PIT 0 3
PIT 1 8
PIT 0 1
PIT 1 10
PIT 0 0
PIT 1 11
PIT 0 9
PIT 1 12
PIT 0 17
PIT 1 13
PIT 0 20
PIT 1 0
PIT 0 26
PIT 1 1
PIT 0 4
PIT 1 3
PIT 0 10
PIT 1 4
PIT 0 5
PIT 1 5
PIT 0 11
PIT 1 7
PIT 0 6
PIT 1 8
GAMEOVER WINNER 1
# Game ended: Sat Feb 27 14:16:24 EST 2016
