2,Human,Human,1,Human,40,game00002.log,
3,xxxxxxxxx,RandomHusPlayer,1,RandomHusPlayer,23,game00003.log,
4,RandomHusPlayer,xxxxxxxxx,1,xxxxxxxxx,18,game00004.log,
5,RandomHusPlayer,RandomHusPlayer,0,RandomHusPlayer,161,game00005.log,
6,RandomHusPlayer,260569675,0,RandomHusPlayer,42,game00006.log,
7,260569675,RandomHusPlayer,1,RandomHusPlayer,231,game00007.log,
8,260569675,RandomHusPlayer,1,RandomHusPlayer,41,game00008.log,
9,260569675,RandomHusPlayer,1,RandomHusPlayer,36,game00009.log,
10,RandomHusPlayer,260569675,0,RandomHusPlayer,39,game00010.log,
11,260569675,RandomHusPlayer,1,RandomHusPlayer,30,game00011.log,
12,RandomHusPlayer,260569675,0,RandomHusPlayer,28,game00012.log,
13,260569675,RandomHusPlayer,0,260569675,54,game00013.log,
14,RandomHusPlayer,260569675,0,RandomHusPlayer,202,game00014.log,
15,260569675,RandomHusPlayer,1,RandomHusPlayer,16,game00015.log,
16,RandomHusPlayer,260569675,0,RandomHusPlayer,34,game00016.log,
17,260569675,RandomHusPlayer,1,RandomHusPlayer,143,game00017.log,
18,RandomHusPlayer,260569675,0,RandomHusPlayer,480,game00018.log,
19,260569675,RandomHusPlayer,1,RandomHusPlayer,22,game00019.log,
20,RandomHusPlayer,260569675,0,RandomHusPlayer,103,game00020.log,
21,260569675,RandomHusPlayer,0,260569675,121,game00021.log,
22,RandomHusPlayer,260569675,1,260569675,233,game00022.log,
23,260569675,RandomHusPlayer,1,RandomHusPlayer,86,game00023.log,
24,RandomHusPlayer,260569675,1,260569675,367,game00024.log,
25,260569675,RandomHusPlayer,1,RandomHusPlayer,774,game00025.log,
27,RandomHusPlayer,RandomHusPlayer,1,RandomHusPlayer,65,game00027.log,
28,260569675,RandomHusPlayer,1,RandomHusPlayer,156,game00028.log,
29,260569675,RandomHusPlayer,0,260569675,10,game00029.log,
30,RandomHusPlayer,260569675,0,RandomHusPlayer,80,game00030.log,
26,260569675,260569675,GAMEOVER DRAW,NOBODY,5001,game00026.log,
31,RandomHusPlayer,260569675,1,260569675,125,game00031.log,
32,260569675,RandomHusPlayer,1,RandomHusPlayer,146,game00032.log,
33,260569675,RandomHusPlayer,1,RandomHusPlayer,106,game00033.log,
34,RandomHusPlayer,260569675,0,RandomHusPlayer,176,game00034.log,
35,260569675,RandomHusPlayer,0,260569675,34,game00035.log,
36,RandomHusPlayer,260569675,1,260569675,11,game00036.log,
37,260569675,RandomHusPlayer,0,260569675,17,game00037.log,
38,RandomHusPlayer,260569675,1,260569675,15,game00038.log,
39,260569675,RandomHusPlayer,0,260569675,20,game00039.log,
40,RandomHusPlayer,260569675,1,260569675,9,game00040.log,
41,260569675,RandomHusPlayer,0,260569675,40,game00041.log,
42,RandomHusPlayer,260569675,1,260569675,37,game00042.log,
43,260569675,RandomHusPlayer,0,260569675,17,game00043.log,
44,RandomHusPlayer,260569675,1,260569675,15,game00044.log,
45,260569675,RandomHusPlayer,0,260569675,11,game00045.log,
46,RandomHusPlayer,260569675,1,260569675,26,game00046.log,
47,260569675,RandomHusPlayer,0,260569675,23,game00047.log,
48,RandomHusPlayer,260569675,1,260569675,45,game00048.log,
